feature,importance
SMA_50,0.06547253573352581
MACD_Signal,0.052740121426913686
BB_Lower,0.05141607994791964
ATR,0.04749781228754443
BB_Upper,0.045254450035827315
SMA_20,0.03752347434342346
EMA_26,0.03732221273658549
MACD,0.03674864133536347
BB_Middle,0.0354741106503106
RSI,0.03518008720016267
MACD_Histogram,0.034879758672981986
BB_Width,0.03465951715515934
Volume_SMA_20,0.03442907004990271
Close_SMA_Ratio,0.03433537107606949
Volume_SMA_10,0.033671319335697066
EMA_12,0.03177688995746227
True_Range,0.026757049804037977
Volume_Ratio,0.02628387120125411
BB_Position,0.026048391230344217
Price_Change_7D,0.02523024085111183
Close,0.025208519819641475
Momentum_7,0.024726994959901015
Open,0.0244479800765409
High,0.024336704621050427
SMA_10,0.0237916609757969
Momentum_3,0.023235099100294355
Low,0.021401383974919773
Price_Change_3D,0.020769678254972435
High_Low_Pct,0.020528304266917353
Volume,0.019308134025510217
Price_Change_1D,0.01928700737055332
Dividends,0.0002575275223043934
Stock Splits,0.0
